product_id,product_name,warehouse_id,stock_qty,reorder_level,safety_stock,inventory_value
P00080,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",WH004,4933,219,43,2105465.8
P00081,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",WH001,3560,252,296,4768.35
P00082,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,4101,439,290,208917.46
P00083,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH004,2764,357,285,34148.9
P00084,"Lamivudine 150mg, tablets, 60 Tabs",WH002,989,387,222,89470.91
P00085,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",WH002,1248,423,257,37698.89
P00086,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH003,4991,232,67,22826.42
P00087,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",WH004,4416,149,77,23891.27
P00088,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",WH004,2353,240,134,30152.51
P00089,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",WH001,4882,216,242,334105.52
P00090,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH004,4642,206,136,3504.7
P00091,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",WH001,3125,182,31,1211.61
P00092,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",WH003,2157,360,106,603.45
P00093,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",WH001,4443,396,216,327.97
P00094,"Efavirenz 600mg, tablets, 30 Tabs",WH002,2056,331,179,42826.68
P00095,"Efavirenz 600mg, tablets, 30 Tabs",WH001,3732,471,124,85207.95
P00096,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",WH001,4451,261,224,4448.58
P00097,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",WH003,4931,288,108,1492.24
P00098,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",WH002,1058,205,206,16604.76
P00099,"Stavudine 30mg, capsules, 60 Caps",WH003,3346,94,131,2253.05
P00100,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",WH003,2660,111,105,2837.69
P00101,"Efavirenz 50mg, capsule, 30 Caps",WH003,1753,58,168,19255.95
P00102,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",WH004,159,135,211,2734.4
P00103,"Stavudine 15mg [Zerit], capsules, 60 Caps",WH001,1101,455,176,5798.32
P00104,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH002,2701,90,164,257274.21
P00105,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",WH004,4414,84,131,125920.85
P00106,"Stavudine 30mg, capsules, 60 Caps",WH003,2125,292,267,60096.17
P00107,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH004,1934,265,223,3521.09
P00108,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH002,2617,462,289,625758.93
P00109,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",WH002,2211,139,212,25173.94
P00110,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",WH002,1839,88,245,822.05
P00111,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",WH003,2261,294,54,2976.35
P00112,"Zidovudine 300mg, tablets, 60 Tabs",WH003,2234,225,92,32389.82
P00113,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH004,830,418,256,41144.22
P00114,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH003,1861,301,225,1059220.62
P00115,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH001,1872,235,85,935316.15
P00116,"Efavirenz 600mg, tablets, 30 Tabs",WH003,527,191,223,690612.99
P00117,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH004,1672,108,227,187905.48
P00118,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",WH002,2125,246,159,377.51
P00119,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH002,3200,203,275,29891.27
P00120,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH002,2522,450,241,2705.68
P00121,"HIV 1/2, Clearview Complete Kit, 25 Tests",WH002,2454,457,209,2523.94
P00122,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,4968,450,76,8464.85
P00123,"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",WH002,1090,97,73,921.07
P00124,"Lamivudine 150mg, tablets, 60 Tabs",WH004,415,88,216,58971.84
P00125,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",WH002,4144,483,125,4734.92
P00126,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH001,4004,201,116,7445.65
P00127,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH003,2212,180,212,1830.93
P00128,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",WH001,2262,270,233,22779.03
P00129,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH001,1016,106,190,11659.72
P00130,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",WH001,389,477,295,13780.09
P00131,"Lamivudine 150mg, tablets, 60 Tabs",WH002,3932,276,273,5688.33
P00132,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH004,1440,409,220,277106.37
P00133,"Stavudine 30mg, capsules, 60 Caps",WH001,1443,389,128,109197.85
P00134,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH004,3263,467,264,42524.41
P00135,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH004,3217,133,269,6400.79
P00136,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",WH002,4132,201,94,299444.58
P00137,"Efavirenz 600mg, tablets, 30 Tabs",WH003,3056,144,60,1317640.69
P00138,"Abacavir 300mg, tablets, 60 Tabs",WH003,3856,111,97,399504.87
P00139,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH003,2223,348,94,13488.25
P00140,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",WH001,1732,425,106,237845.78
P00141,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH003,2265,299,92,55021.74
P00142,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,2831,104,203,608702.81
P00143,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",WH001,4658,145,133,25508.83
P00144,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH003,2052,443,238,189952.0
P00145,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",WH004,2449,284,73,50675.07
P00146,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",WH002,1465,106,101,2229.37
P00147,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH002,3898,317,29,25082.27
P00148,"Efavirenz 600mg, tablets, 30 Tabs",WH004,929,216,147,533758.17
P00149,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH002,2555,346,287,34567.78
P00150,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",WH004,2238,247,279,2546.44
P00151,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH004,140,475,139,1999.76
P00152,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",WH004,1071,307,149,9299.62
P00153,"Abacavir 300mg, tablets, 60 Tabs",WH004,3559,331,156,33213.96
P00154,"Stavudine 20mg, capsules, 60 Caps",WH002,1121,261,252,2609.54
P00155,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH002,3762,77,70,20203.58
P00156,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH002,4256,71,235,79102.02
P00157,"Stavudine 20mg [Zerit], capsules, 60 Caps",WH004,3578,464,29,827.47
P00158,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH003,1410,200,153,13457.31
P00159,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH002,4744,423,83,324997.9
P00160,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,2789,312,281,313590.48
P00161,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH003,3191,147,25,305255.71
P00162,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH004,1802,228,217,84.06
P00163,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH001,4735,325,85,8782.27
P00164,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH003,2057,393,295,111420.18
P00165,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH004,607,265,60,0.53
P00166,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH004,3816,277,271,106793.44
P00167,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH003,4989,173,210,52009.36
P00168,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH004,894,440,79,24157.03
P00169,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",WH002,4943,118,43,6036.42
P00170,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH001,2129,247,223,22.01
P00171,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",WH003,3234,138,198,9630.46
P00172,"Ritonavir 80mg/ml [Norvir], oral solution, cool, Bottle, 90 ml",WH001,1695,417,38,54.2
P00173,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH003,4277,280,272,21091.44
P00174,"Lamivudine 150mg, tablets, 60 Tabs",WH004,3491,218,251,45792.81
P00175,"Efavirenz 600mg, tablets, 30 Tabs",WH002,3404,149,43,132511.32
P00176,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH004,2034,83,160,1.69
P00177,"Efavirenz 600mg, tablets, 30 Tabs",WH002,221,485,251,2995.88
P00178,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",WH002,4080,152,35,5702.4
P00179,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH003,2033,407,292,3471.48
P00180,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH001,415,217,126,10.0
P00181,"Stavudine 30mg, capsules, 60 Caps",WH002,878,273,292,8080.82
P00182,"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",WH001,2567,304,33,24660.13
P00183,"Lamivudine 150mg [Epivir], tablets, 60 Tabs",WH004,2150,98,269,5721.34
P00184,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",WH002,3929,66,176,16073.76
P00185,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",WH001,1522,351,79,590.94
P00186,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH002,991,149,138,89955.32
P00187,"HIV 1/2, Capillus HIV Kit, 100 Tests",WH001,3210,181,35,72525.7
P00188,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH004,3384,272,132,1049348.51
P00189,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH002,2109,103,157,1067730.21
P00190,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH002,1123,339,101,61917.48
P00191,"Stavudine 30mg, capsules, 60 Caps",WH003,1489,157,207,36473.57
P00192,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",WH003,3936,72,64,878.72
P00193,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",WH004,957,307,54,900.91
P00194,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH001,1841,371,188,932.97
P00195,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",WH002,1515,304,288,202.28
P00196,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH004,2804,111,294,25.41
P00197,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",WH001,1559,171,97,36.49
P00198,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH002,3616,194,41,915981.62
P00199,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH004,632,420,293,31778.93
P00200,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH004,4154,405,293,19633.25
P00201,"Efavirenz 600mg, tablets, 30 Tabs",WH001,2535,80,295,108127.33
P00202,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",WH002,4735,450,34,50038.1
P00203,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH004,389,331,34,112528.98
P00204,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH004,2631,315,188,99791.38
P00205,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",WH002,3899,418,273,104163.3
P00206,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",WH004,3655,404,219,4960.71
P00207,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",WH001,2587,245,42,652.63
P00208,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",WH004,327,313,235,103479.48
P00209,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",WH002,2767,142,149,77216.15
P00210,"#109440**HIV 1/2, INSTI HIV Antibody Individual POC, 1 Test",WH003,2881,466,210,16966.05
P00211,"Nevirapine 200mg, tablets, 60 Tabs",WH002,2007,433,266,34323.81
P00212,"Efavirenz 600mg, tablets, 30 Tabs",WH002,4740,97,237,22853.8
P00213,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",WH004,3219,414,53,405.7
P00214,"Saquinavir 200mg [Invirase], capsules, 270 Caps",WH001,2289,369,169,731.7
P00215,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",WH004,4228,206,126,276.16
P00216,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,3184,136,168,320548.33
P00217,"HIV 1/2, Clearview Complete Kit, 25 Tests",WH001,4272,396,90,199.52
P00218,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",WH003,339,449,63,1848.66
P00219,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH003,924,424,256,3978.31
P00220,"Lamivudine 150mg, tablets, 60 Tabs",WH003,4128,491,55,13240.4
P00221,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH003,3880,268,276,6191.64
P00222,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",WH001,4292,144,31,1548471.09
P00223,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH003,816,354,149,169530.59
P00224,"Zidovudine 100mg, capsules, 100 Caps",WH002,316,495,26,8400.78
P00225,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH001,4791,125,168,1169209.72
P00226,"Efavirenz 200mg, capsule, 90 Caps",WH004,2270,268,229,2526.76
P00227,"Nevirapine 200mg, tablets, 60 Tabs",WH001,2935,401,256,38180.63
P00228,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",WH002,2181,464,146,1991.35
P00229,"Lamivudine 150mg, tablets, 60 Tabs",WH001,792,435,27,22650.96
P00230,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",WH003,3570,156,60,27402.47
P00231,"Efavirenz 600mg, tablets, 30 Tabs",WH004,4852,342,272,18503.95
P00232,"Stavudine 20mg [Zerit], capsules, 60 Caps",WH004,3107,415,271,331.91
P00233,"Stavudine 30mg, capsules, 60 Caps",WH002,1107,477,53,1464.86
P00234,"Nevirapine 200mg [Viramune], tablets, 60 Tabs",WH001,3450,449,65,3534.99
P00235,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH004,2242,235,293,1748.09
P00236,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",WH003,4492,499,218,194598.5
P00237,"Zidovudine 10mg/ml [Retrovir], solution for IV infusion injection, Vial 5 x 20 ml",WH002,1471,250,89,3842.57
P00238,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",WH001,479,256,113,25400.06
P00239,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",WH004,4853,279,121,106483.28
P00240,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",WH004,1791,373,165,2610.23
P00241,"Ritonavir 80mg/ml [Norvir], oral solution, cool, Bottle, 90 ml",WH002,1664,488,59,37.46
P00242,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,501,491,139,41678.82
P00243,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH004,4871,83,138,47038.31
P00244,"Stavudine 20mg [Zerit], capsules, 60 Caps",WH002,826,136,268,372.81
P00245,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH004,1346,169,164,5465.93
P00246,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH002,3994,113,43,169.67
P00247,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",WH003,751,98,233,149750.8
P00248,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH001,2124,326,111,139909.85
P00249,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",WH001,4426,341,208,296201.24
P00250,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",WH004,404,166,39,98157.49
P00251,"Didanosine 250mg, delayed-release capsules, 30 Caps",WH002,2241,227,230,3439.3
P00252,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH003,3173,456,87,21998.17
P00253,"Lamivudine/Stavudine 30/6mg, dispersible tablets, 60 Tabs",WH001,3291,167,260,3277.86
P00254,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",WH003,964,194,54,1073.34
P00255,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",WH002,3192,160,121,303.93
P00256,"Stavudine 20mg [Zerit], capsules, 60 Caps",WH003,4353,416,284,1248.78
P00257,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",WH001,3710,453,84,246675.15
P00258,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",WH003,2880,196,93,424941.79
P00259,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",WH001,2102,497,29,13968.14
P00260,"HIV 1/2, Capillus HIV Kit, 100 Tests",WH001,2778,349,240,7658.51
P00261,"Nevirapine 200mg, tablets, 60 Tabs",WH004,3002,216,237,201813.06
